382,387,9304.06,9131.25
秋桐,贾琏,妾,1,0.7
秋纹,贾宝玉,丫鬟,1,0.6
秦可卿,贾珍,私通,1,0.8
秦可卿,贾蔷,私通,1,0.8
秦可卿,贾蓉,妻,1,1
秦可卿,秦业,女,1,0.9
秦思祺,贾迎春,丫鬟,1,0.6
秦钟,秦业,子,1,0.9
篆儿,邢岫烟,丫鬟,1,0.6
篆儿,贾宝玉,丫鬟,1,0.6
素云,李纨,丫鬟,1,0.6
紫绡,贾宝玉,丫鬟,1,0.6
紫鹊,林黛玉,丫鬟,1,0.6
绣凤,王夫人,丫鬟,1,0.6
绣桔,贾迎春,丫鬟,1,0.6
绣鸾,王夫人,丫鬟,1,0.6
绮霞,贾宝玉,丫鬟,1,0.6
缮国公诰命,缮国公,妻,1,1
翠云,贾赦,妾,1,0.7
翠墨,贾探春,丫鬟,1,0.6
翠缕,史湘云,丫鬟,1,0.6
翡翠,贾母,丫鬟,1,0.6
老叶妈,叶茗烟,母亲,1,0.9
老姨奶奶,贾代善,妾,1,0.7
老舅太太,王夫人之大兄凤姐之父,妻,1,1
老苍头,薛蟠,乳父,1,0.7
胡氏,金氏,嫂,1,0.7
胡氏,贾蓉,续弦,1,0.9
胡老爷,净虚,施主,1,0.5
胡老爷公子,净虚,施主,1,0.5
胡老爷太太,净虚,施主,1,0.5
臻儿,香菱,丫鬟,1,0.6
良儿,贾宝玉,丫鬟,1,0.6
艾官,贾探春,丫鬟,1,0.6
花自芳,花袭人,兄,1,0.8
花芳官,贾宝玉,丫鬟,1,0.6
花芳官,智能,徒弟,1,0.7
花袭人,贾宝玉,妾,1,0.7
茄官,尤氏,丫鬟,1,0.6
茜雪,贾宝玉,丫鬟,1,0.6
