296,328,7772.77,7946.2
王熙凤,贾蓉,私通,1,0.8
王熙凤,王夫人之大兄凤姐之父,女,1,0.9
王熙凤,贾琏,妻,1,1
王狗儿,王成,子,1,0.9
王荣,贾宝玉,奴仆,1,0.6
王青儿,王狗儿,女,1,0.9
玻璃,贾母,丫鬟,1,0.6
珍珠,贾母,丫鬟,1,0.6
琥珀,贾母,丫鬟,1,0.6
瑞珠,秦可卿,丫鬟,1,0.6
甄夫人,甄应嘉,妻,1,1
甄宝玉,李绮,夫,1,1
甄宝玉,李绮,夫,1,1
甄宝玉,甄应嘉,子,1,0.9
甄应嘉,甄宝玉祖母,子,1,0.9
白玉钏,王夫人,丫鬟,1,0.6
白老媳妇,白金钏,母亲,1,0.9
白老媳妇,白玉钏,母亲,1,0.9
白金钏,王夫人,丫鬟,1,0.6
皇太后,太上皇,妻,1,1
皇帝,太上皇,子,1,0.9
碧月,李纨,丫鬟,1,0.6
碧痕,贾宝玉,丫鬟,1,0.6
秋桐,贾琏,妾,1,0.7
秋纹,贾宝玉,丫鬟,1,0.6
秦可卿,贾珍,私通,1,0.8
秦可卿,贾蔷,私通,1,0.8
秦可卿,贾蓉,妻,1,1
秦可卿,秦业,女,1,0.9
秦思祺,贾迎春,丫鬟,1,0.6
秦钟,秦业,子,1,0.9
篆儿,邢岫烟,丫鬟,1,0.6
篆儿,贾宝玉,丫鬟,1,0.6
素云,李纨,丫鬟,1,0.6
紫绡,贾宝玉,丫鬟,1,0.6
紫鹊,林黛玉,丫鬟,1,0.6
绣凤,王夫人,丫鬟,1,0.6
绣桔,贾迎春,丫鬟,1,0.6
绣鸾,王夫人,丫鬟,1,0.6
绮霞,贾宝玉,丫鬟,1,0.6
翠云,贾赦,妾,1,0.7
翠墨,贾探春,丫鬟,1,0.6
翠缕,史湘云,丫鬟,1,0.6
翡翠,贾母,丫鬟,1,0.6
老叶妈,叶茗烟,母亲,1,0.9
老姨奶奶,贾代善,妾,1,0.7
老舅太太,王夫人之大兄凤姐之父,妻,1,1
老苍头,薛蟠,乳父,1,0.7
胡氏,金氏,嫂,1,0.7
胡氏,贾蓉,续弦,1,0.9
胡老爷,净虚,施主,1,0.5
胡老爷公子,净虚,施主,1,0.5
胡老爷太太,净虚,施主,1,0.5
臻儿,香菱,丫鬟,1,0.6
良儿,贾宝玉,丫鬟,1,0.6
艾官,贾探春,丫鬟,1,0.6
花自芳,花袭人,兄,1,0.8
花芳官,贾宝玉,丫鬟,1,0.6
花袭人,贾宝玉,妾,1,0.7
茄官,尤氏,丫鬟,1,0.6
茜雪,贾宝玉,丫鬟,1,0.6
莲花儿,贾迎春,丫鬟,1,0.6
莺儿,薛宝钗,丫鬟,1,0.6
葵官,史湘云,丫鬟,1,0.6
蒋玉菡,贾宝玉,朋友,1,0.7
蕊官,薛宝钗,丫鬟,1,0.6
蕊官,地藏庵的圆心,徒弟,1,0.7
薛公之孙,宝钗祖父,子,1,0.9
薛姨妈,凤姐之祖王夫人之父,女,1,0.9
薛姨妈,薛公之孙,妻,1,1
薛宝琴,薛宝琴父,女,1,0.9
薛宝琴母,薛宝琴父,妻,1,1
薛宝琴父,宝钗祖父,子,1,0.9
薛宝钗,贾宝玉,妻,1,1
薛宝钗,薛公之孙,女,1,0.9
薛宝钗,薛姨妈,女,1,0.9
薛蝌,薛宝琴父,子,1,0.9
薛蟠,薛公之孙,子,1,0.9
藕官,林黛玉,丫鬟,1,0.6
藕官,圆心,徒弟,1,0.7
花袭人之母,花袭人,母亲,1,0.9
许氏,贾蓉,续弦,1,0.9
费婆子,邢夫人,丫鬟,1,0.6
贾代儒,贾宝玉,老师,1,0.6
贾代化,贾演,子,1,0.9
贾代化,贾演,子,1,0.9
贾代善,贾源,子,1,0.9
贾元春,皇帝,妃,1,0.9
贾元春,贾政,女,1,0.9
贾兰,贾珠,子,1,0.9
贾宝玉,贾政,子,1,0.9
贾宝玉,王夫人,子,1,0.9
贾宝玉,林黛玉,喜欢,1,0.7
贾宝玉,秦可卿,喜欢,1,0.7
贾巧姐,王熙凤,女,1,0.9
贾巧姐,贾琏,女,1,0.9
贾惜春,贾敬,女,1,0.9
贾探春,贾政,女,1,0.9
贾政,贾代善,子,1,0.9
贾敏,贾代善,女,1,0.9
贾敏,贾政,妹,1,0.8
贾敬,贾代化,子,1,0.9
贾敬,贾代化,子,1,0.9
贾敷,贾代化,子,1,0.9
贾敷,贾代化,子,1,0.9
贾桂,贾宝玉,子,1,0.9
贾母,贾赦,母亲,1,0.9
贾母,贾敏,母亲,1,0.9
贾母,贾代善,妻,1,1
贾母,史侯,女,1,0.9
贾演,贾源,兄,1,0.8
贾环,贾政,子,1,0.9
贾珍,贾敬,子,1,0.9
贾珠,贾政,子,1,0.9
贾琏,贾赦,子,1,0.9
贾琮,贾赦,子,1,0.9
贾琮奶妈,贾琮,乳母,1,0.6
贾瑞,贾瑞之父,子,1,0.9
贾瑞之母,贾瑞之父,妻,1,1
贾瑞之父,贾代儒,子,1,0.9
贾菌,娄氏,子,1,0.9
贾蓉,贾珍,子,1,0.9
贾蔷,贾演,玄孙,1,0.7
贾赦,贾代善,子,1,0.9
贾迎春,贾赦,女,1,0.9
赵国基,赵姨娘,兄,1,0.8
赵天栋,赵嬷嬷,子,1,0.9
赵天梁,赵嬷嬷,子,1,0.9
